,Verse,B1,P3,To,W1,Normalized
271,337,Verbi principium finem quoque conspice uerbi,Verbi principium uerbi quoque conspice finem,Verbi principium finem quoque conspice uerbum,Principium verbi finem quoque conspice uerbi,lít á upphaf máls ok endalykð
272,338,"Vt melius possia premeditata loqui""","Vt melius possia premeditata loqui""","Vt melius possia premeditata loqui""","Vt melius possia premeditata loqui""",at þú megir þá betr rǿða fyrirǽtlat mál
273,339,"""Hac manet in uilla nimium formosa iuuentus","""Hac manet in uilla nimium formosa iuuentus","""Hac manet in uilla nimium formosa iuuentus","""Hac manet in uilla nimium formosa iuuentus",Hér er í þeima bǿ eitt ungmenni allfagrt
274,34,Et sic euenient prospera cuncta michi,Et sic euenient prospera cuncta michi,Et sic euenient prospera cuncta michi,Et sic peruenient prospera cuncta michi,"Ok þá þegar munu mér koma
 allir hógvǽrir hlutir"
275,340,Crescit et in cunctis moribus ipsa bonis,Crescit et in cunctis moribus ipsa bonis,Crescit et in cunctis moribus ipsa bonis,Crescit et in cunctis moribus illa bonis,ok þat vex í ǫllum sǿmiligum siðum
276,341,Non fuit in nostro melior nec dulcior euo,Non fuit in nostro melior nec dulcior euo,Nec fuit in nostro melior nec dulcior euo,Non fuit in nostro melior nec dulcior euo,ok engi var betri né kurteisari
277,342,Suscipit ipse meam tam bene pauperiem,Suscipit ipse meam tam bene pauperiem,Suscipit ipsa meam tam bene pauperiem,Suscipit illa meam tam bene pauperiem,um vára daga
278,342,Suscipit ipse meam tam bene pauperiem,Suscipit ipse meam tam bene pauperiem,Suscipit ipsa meam tam bene pauperiem,Suscipit illa meam tam bene pauperiem,ok hann tók vel við várri fátǿkð
279,343,Precellit cunctos omni bonitate coeuos,Precellit cunctos omni bonitate coeuos,Precellit cunctos omni bonitate coeuos,Precellit cunctos omni bonitate coeuos,ok hann yfirstígr alla með lofi sínu jafnaldra sína
280,344,Pamphilus et socios laudibus exsuperat,Pamphilus et socios laudibus exsuperat,Pamphilus et socios laudibus exsuperat,Pamphilus et socios laudibus exsuperat,Pamphilus yfirkømr alla sína félaga
281,345,Est stultos stultus et miti mitis ut agnus,Est stulto stultus et miti mitis ut agnus,Est stultus stulto et miti mitis ut agnus,Est stulto stultus est miti mitis ut agnus,"hann er heimskr heimskum
"
282,345,Est stultos stultus et miti mitis ut agnus,Est stulto stultus et miti mitis ut agnus,Est stultus stulto et miti mitis ut agnus,Est stulto stultus est miti mitis ut agnus,ok hǿgvǽrr hógvǽrum sem lamb
283,346,Stulticie sapiens iure resistit homo,Stulticie sapiens iure resistit homo,Stulticie sapiens iure resistit homo,Stulticie sapiens iure resistit homo,vitr maðr stendr í móti heimskum með réttu
284,347,manet hanc tante probitatis pubes in urbe,manet hac tante pubes probitatis in urbe,manet hac tante pubes probitatis in urbe,manet hac tante probitatis pubes in urbe,"engi ǿskumaðr
 er jafnvel reyndr í borg þessi"
285,348,Quas acquirit opes non uorat ingluuies,Quas acquirit opes non uorat ingluuies,Quas acquirit opes non uorat ingluuies,Quas acquirit opes non uorat ingluuies,"hans afl eyðir
 ei ofdrykkja"
286,349,Est nimis ille probus bona fuit eius nam origo,Est nimis ille probus bona nam fuit eius origo,Est nimis ille probus bona nam fuit eius origo,Est nimis ille probus bona nam fuit eius origo,hann er vel siðaðr því at góðr var uppruni hans
287,35,Est michi uicina uellem non esset puella,Est michi uicina uellem non esse puella,Est michi uicina uellem non esset puella,Est michi uicina uellem non esse puella,Ein er sú í grennd við mik er ek vilda eigi at mǽr vǽri
288,350,Arbore de dulci dulcia poma cadunt,Arbore de dulci dulcia poma cadunt,Arbore de dulci dulcia poma cadunt,Arbore de dulci dulcia poma cadunt,sǿtt epli fellr af sǿtu tré
289,351,Premonstrat signis prolem natamque frequenter,Premonstrat signis prolem natura frequenter,Premonstrat signis prolem natura frequenter,Premonstrat signis prolem natura frequenter,kynfylgja birtir oft hvaðan kominn er
290,352,Sepe solet similis filius esse patri,Sepe solet similis filius esse patri,Sepe solet filius similis esse patri,Sepe solet similis filius esse patri,oft líkisk sonr feðr
291,353,En iuxta portam stantem uideo Galatheam,En iuxta portam uideo stantem Galatheam,Et iuxta portam uideo stare Galatheam,En iuxta portam uideo stantem Galatheam,"ek sé Galatheam standa hjá garðshliði
"
292,354,Queque locuta fui forsitan audierit,Queque locuta fui forsitan audierat,Queque locuta fui forsitan audierit,Queque locuta fui forsitan audierit,kann vera með atburð at hon hafi heyrt mína rǿðu
293,355,Nec non esse modo quemquam Galathea putabam,Hic non esse modo quemquam Galathea putaui,Hic non essem modo quemquam Galathea putabam,Hic non esse modo quemquam Galathea putabam,vit þat Galathea at ek hugða engan í nánd vera
294,356,Sed tamen ipsa nimis uera locuta fui,Sed tamen ipsa nimis uera locuta fui,Sed tamen ipsa nimis uera locuta fui,Sed tamen ipsa nimis uera locuta fui,en þó hefi ek ekki logit
295,357,Pamphilus hanc certe pre cuntis pollet in urbe,Pamphilus hac certe pre cuntis pollet in urbe,Pamphilus hac certe pre cuntis pollet in urbe,Pamphilus hac certe pre cuntis pollet in urbe,Pamphilus birtisk víst yfir ǫllum mǫnnum í borg þessi
296,358,Egregie uitam proudet ipse suam,Egregie uitam proudet ipse suam,Egregie uitam proudet ipse suam,Egregie uitam proudet ille suam,menn veit fagrliga varðveitir hann sína atferð
297,359,Illi semper honor et laus et gloria crescit,Illi semper honor et laus et gloria crescit,Illi semper honor et laus et gloria crescit,Illi semper honor et laus et gloria crescit,sína sǿmð ok dýrð ok lof vex með honum jafnan
298,36,Si non subueniat gracia uestra michi,Si non subueniat gracia uestra michi,Si non subueniat gracia uestra michi,Si non subueniat gracia uestra michi,Ok ef eigi stoðar mér miskunn yður
299,360,Et merito nullus inuidet ipse sibi,Et merito nullus inuidet inde sibi,Et merito nullus inuidet inde sibi,Et merito nullus inuidet inde sibi,ok með réttu má hann engi ǫfunda
300,361,Et nimium locuples sed non tamen inde superbit,Est nimium locuples sed non tamen inde superbit,Est nimium locuples sed non tamen inde superbit,Est nimium diues sed non tamen inde superbit,hann er vel maðr ok mikillǽtisk hann þó ekki af því
301,362,Illius et nullum copia crimen habet,Illius et nullum copia crimen habet,Illius et nullum copia crimen habet,Illius et nullum copia crimen habet,ok hans auðr hefir engan lǫst
302,363,Esset ut ille tuus et mitti Galathea maritus,Esset ut ille tuus uellem - Galathea maritus,Esset ut ipse tuus uellem - Galathea maritus,Esset ut ille tuus uellem - Galathea maritus,þat vilda ek Galathea at hann vǽri búandi þinn
303,364,Nec eadem uelles re bene si saperis,Hanc eciam uelles rem bene si saperes,Hec eadem uelles rem bene si saperes,Hec eadem uelles rem bene si saperes,ok þat sama myndir þú vilja ef þú vissir sem ek
304,365,Velle meum dixi - non tamen ipse rogat,Velle meum dixi sed non tamen ille rogauit,Velle meum dixi sed non tamen ille rogauit,Velle meum dixi sed non tamen ille rogauit,ok vilja minn sagða ek en ei bað ek hann þess mik
305,366,Vos sinit esse meum iudicat ingenium,Vos simul esse meum iudicat arbitrium,Vos simul esse meum iudicat arbitrium,Vos simul esse meum iudicat arbitrium,minn dómr dǿmir ykkr bǽði saman
306,367,Et genus et probitas et forma decens utriusque,Et genus et probitas et forma decens utriusque,Et genus et probitas et forma decens utriusque,Et genus et probitas et forma decens utriusque,kyn ok kostr hvárstveggja
307,368,Mecum cum sedunt uos simul esse duos,Mecum concedunt - uos simul esse duos,Mecum concedunt - uos simul esse duos,Mecum concedunt - uos simul esse duos,
308,369,Gracia modo uacuis deducimus ocia uerbis,Nostra modo uacuis deducimus ocia uerbis,Nostra modo uacuis deducimus ocia uerbis,Nostra tamen uacuis deducimus ocia uerbis,Nú hlýðum vit tómum orðum um stund
309,37,Nam solet amoto plus ledere proximus ignis,Nam solet amoto plus ledere proximus ignis,Nam solet amoto plus ledere proximus ignis,Nam solet amoto plus ledere proximus ignis,"því at
 eldr þyngir meir þeim er á liggr"
310,370,Res tamen interdum grandia parua mouent,Res tamen interdum grandia parua mouet,Res tamen interdum gaudia parua mouet,Res tamen interdum grandia parua mouet,"en oft koma
 stórmǽli af litlum hlut"
311,371,Et minima mafnus scintilla nascitur ignis,E minima mafnus scintilla nascitur ignis,E minima mafnus scintilla nascitur ignis,E minima mafnus scintilla nascitur ignis,mikill eldr verðr oft af litlum gneista
312,372,Et generat paruum grandia principium,Et generat paruum grandia principium,Et generat paruum grandia principium,Et generat paruum grandia principium,lítit upphaf gerir stundum ágǽtt niðrlag
313,373,Mens mea concepit harum primordia rerum,Mens mea concepit harum primordia rerum,Mens mea concepit harum primordia rerum,Mens mea concepit harum primordia rerum,hugr minn ǽtlaði með sér þetta upphaf þessa máls
314,374,Vtque nostris loqui cepimus - inde iocis,Atque loqui nostris cepimus - - ingenijs,Atque loqui nostris cepimus - inde iocis,Atque loqui nostris cepimus iocis uel ingenijs,ok því sneri ek minni rǿðu til þín í gamni mínu
315,375,Sed si rebus in hijs tua mens animusque mouetur,Sed nec rebus in hijs tua mens animusque mouetur,Sed si rebus in hijs tua mens animusque mouetur,Sed si rebus in hijs tua mens animusque mouetur,en ef hugr þinn eða hugskot kømsk nǫkkut við þessa rǿðu
316,376,Si placet an pocius displicet inde loqui,Si placet an pocius displicet inde loqui,Si placet an pocius displicet inde loqui,Si placet an pocius displicet inde loqui,
317,377,Deprecor ut dicas que dixeris ipsa tacebo,Deprecor ut dicas quod dixeris ipsa tacebo,Deprecor ut dicas quod dixeris ipsa tacebo,Deprecor ut dicas quod dixeris ipsa tacebo,
318,378,Si celare uelis siue referre loquar,Si celare uelis siue referre loquar,Si celare uelis siue referre loquar,Si celare uelis siue referre loquar,
319,379,Dic michi nec dubites stultum depone pudorem,Dic michi ne dubita stultum depone pudorem,Dic michi ne dubites stultum depone pudorem,Dic michi nec dubita stultum depone pudorem,
320,38,Ne si mota fotet lederet ipsa minus,Me si mota fotet lederet ipsa minus,Me si mota fotet lederet ipsa minus,Me si mota fotet lederet ipsa minus,en hinum er fjarri er
321,380,Hic uenit a sola rusticitate pudor,Nam uenit a sola rusticitate pudor,Hic uenit a sola rusticitate pudor,Hic uenit a sola rusticitate pudor,
322,381,Non michi rusticitas stultus modo nec pudor obstat,Non michi rusticitas stultus michi nec pudor obstat,Non michi rusticitas uultus michi nec pudor obstat,Non michi rusticitas stultus michi nec pudor obstat,Eigi veldr ónǿfrleikr ok engi heimskleikr
323,382,Sermo sed admiror quo uenit iste tuus,Sermo sed admiror quo uenit iste tuus,Sermo sed admiror quo uenit iste tuus,Sermo sed admiror quid uenit iste tuus,en hvaðan kom þér þessi rǿða
324,383,Huc miror si te casus transmisit an ille,Nunc miror si te casus transmisit an ille,Huc miror si te casus transmisit an ille,Huc miror si te casus transmisit an ille,hví þú komt hér eða
325,384,Pamphilus an querit premia sermo tuus,Pamphilus an querat premia sermo tuus,Pamphilus an querit premia sermo tuus,Pamphilus an querit premia sermo tuus,"sendi Pamphilus þik hingat eða sér rǿða þín til nǫkkurra ambuna
"
326,385,Sepe iniquorum scelus impedit acta bonorum,Semper iniquorum scelus impedit acta bonorum,Semper iniquorum scelus impedit acta bonorum,Semper iniquorum scelus impedit acta bonorum,Illska vándra manna spillir jafnan verkum góðra
327,386,Penas sepe luit quas homo non meruit,Penas sepe luit quas homo non meruit,Penas sepe luit quas homo non meruit,Penas sepe luit quas homo non meruit,ok oft geldr maðr þess er hann hefir ei gǫrt
328,387,Quamuis pauper ego non sic tibi premia quero,Quamuis pauper ego non sic michi premia quero,Quamuis paulisper ego non sic tibi premia quero,Quamuis pauper ego non sic - premia quero,en þó at ek sé fátǿk þá fǽ ek eigi þó svá mér fjár
329,388,Iam michi sufficiens est mea pauperies,Nam michi sufficiens est mea pauperies,Nam michi sufficiens est mea pauperies,Nam michi sufficiens est mea pauperies,því at ek á lítit þá er eigi mér lítit ǿrit
330,389,Primitus ut dixi mea mens conceperat istud,Primitus ut dixi mea mens conceperat istud,Primitus ut dixi mea mens conceperat istud,Primitus ut dixi mea mens conceperat istud,svá er þó sem ek sagða fyrst hugr minn hóf þetta
331,39,Fertur uicinis formosior omnibus illa,Fertur uicinis formosior omnibus illa,Fertur uicinis formosior omnibus illa,Fertur uicinis formosior omnibus illa,"því at þat er sagt at hon sé ein fegri ǫllum
 návistarkonum sínum"
332,390,nosti conscius omnis abest,Altera tu nosti conscius omnis abest,Alter dum nosti conscius omnis abest,Altera tu nosti conscius omnis abest,þú veizt með mér ok engi fleiri
333,391,Hoc satis esse potest si uos simul esse uelitis,Hoc satis esse potest si uos simul esse uelitis,Hoc satis esse potest si uos simul ambo uelitis,Hoc satis esse potest si uos simul esse uelitis,Þá má vel vera at þit séð bǽði saman ef þit vilið
334,392,Hoc et uterque potest absque pudore pati,Hoc et uterque potest absque pudore pati,Hoc et uterque potest absque pudore pati,Hoc et uterque potest absque pudore pati,"ok þá má hvárttveggja ykkart þola skammlaust
"
335,393,Nobilis ille quidem nec nobilis es minus ipsa,Nobilis ille quidem nec nobilis es minus ipsa,Nobilis ille quidem nec nobilis es minus ipsa,Nobilis ille quidem nec nobilis es minus ipsa,kyngǫfgaðr er hann ok eigi þú síðr
336,394,Est utriusque satis nota propago michi,Est utriusque satis nota propago michi,Est utriusque satis nota propago michi,Est utriusque satis nota propago michi,"fyrirmenn
 hvárstveggja eru mér kunnigir"
337,395,Pulcrior hic socijs - sociabus pulcrior ipsa,Pulcrior hic socijs - sociabus pulcrior ipsa,Pulcrior hic socijs - sociabus pulcrior ipsa,Pulcrior hic socijs uel sociabus pulcrior ipsa,hann er fríðari félagum en þú leikum ljósari
338,396,Cum specie species conuenit atque placet,Cum specie species conuenit atque placet,Cum species speciem conuenit atque placet,Cum specie species conuenit atque placet,fagrt við fǫgru líkar
339,397,Hoc utriusque probat par copia parque iuuentus,Hoc utriusque probat par copia parque iuuenta,Hic utriusque probat par copia parque iuuenta,Hoc utriusque probat par copia parque iuuentus,ok er auðr ǿrinn með yðr ok ok glǫð ǿska
340,398,Famaque si sciret ipsa probaret idem,Famaque si sciret ipsa probaret idem,Famaque si sciret ipsa probaret idem,Famaque si sciret ipsa probaret idem,ok sjǫlf myndi sanna fegrð frǽgð ef vissi
341,399,Quando pares estis sociari iure potestis,Quando pares estis sociari iure potestis,Quando pares estis sociari iure potestis,Quando pares estis sociari iure potestis,ok með því at þit eruð jǫfn þá megu þit með réttu félag eiga
342,4,Nec sinit aspectus plaga uidere suos,Nec sinit aspectus plaga uidere suos,Nec sinit aspectus plaga uidere suos,Nec sinit aspectus plaga uidere suos,ok ei lǽtr sjalft sár sýnask
343,40,Et me fallit  amor omnibus aut superest,Aut me fallit  amor omnibus aut superest,Aut me fallit  amor omnibus aut superest,Aut me fallit  amor omnibus aut superest,Annathvárt er at mik blekkir ást eða er hon ein yfir ǫllum
344,400,"Deficit in uobis nil nisi solus amor""","Deficit in uobis nil nisi solus amor""","Deficit in uobis nil nisi solus amor""","Deficit in uobis nil nisi solus amor""",ekki skortir með ykkr nema ást ein
345,401,Quod michi nunc dicis dici deberes amicis -,Quod michi nunc dicis timor impedit ipse parentum,Quod michi nunc dicis dici deberes amicis -,Quot michi nunc dicis dici deberet amicis -,Þat er þú mǽlir við mik þat skyldi mǽlt vera við frǽndr mína
346,402,Assensu quorum coniugis opto thorum,Assensu quorum coniugis opto thorum,Assensu quorum coniugis opto thorum,Assensu quorum coniugis opto thorum,ok með þeira ráði þá fýsumsk ek nú bónda hvílu
347,403,Vos prius alloquere uel tu uel Pamphilus ille,Hos prius alloquere uel tu uel Pamphilus ille,Hoc prius alloquere uel tu uel Pamphilus ille,Hos prius alloquere uel tu uel Pamphilus ille,mǽl þat við þá þú eða Pamphilus
348,404,"Res erit ad libitum pulcrior ista suum""","Res erit ad libitum pulcrior ista suum""","Res erit ad libitum pulcrior ista suum""","Res erit ad libitum pulcrior ista suum""",þá mun hlutr sjá fegri verða þó at hans vili verði
349,405,Conuenit ut tua sit consensum teda parentum,Conuenit ut tua sit consensu teda parentum,Conuenit ut tua sit concessu teda parentum,Conuenit ut tua sit consensu teda parentum,"Þat hǿfir at þitt ráð sé í samrǽði
 við frǽndr þína"
350,406,Sed tuus interea militet ignis ei,Sed tuus interea militet ignis ei,Sed tuus interea militet ignis ei,Sed tuus interea militet ignis ei,ok þín ást leiki meðan við hans ást
351,407,Exercet corda iuuenum Venus ingeniosa,Exercet corda iuuenum Venus ingeniosa,Exercet corda iuuenum Venus ingeniosa,Exercet corda iuuenum Venus ingeniosa,
352,408,Quisque per hoc studium colligit ingenium,Quisque per hoc studium colligit ingenium,Quisque per hoc studium colligit ingenium,Quisque per hoc studium colligit ingenium,ok hverr með sínu athygli sannar þessa íðn
353,409,Incitat hoc animos dat largis odit auaros,Incitat hec animos dat largius odit auaros,Incitat hec animos dat largis odit auaras,Incitat hec animos dat largos odit auaros,losti vekr hugskot manna
354,41,Nec mea transiecit certis precordia telis,Hec mea transiecit certis precordia telis,Hec mea transiecit certis precordia telis,Hec mea transiecit certis precordia telis,Sjá hefir gjǫgnum lostit mín innyfli vísu gaflaki
355,410,Leticiam sequitur tristiciamque fugit,Leticiam sequitur tristiciamque fugit,Leticiam sequitur tristiciamque fugit,Leticiam sequitur tristiciamque fugit,"ok sambundin ást fylgir gleði ok hatar hryggleik
"
356,411,Narraret nullus quantum Veneris ualet usus,Narraret nullus Veneris quantum ualet usus,Narraret nullus Veneris quantum ualet usus,Narraret nullus quantum Veneris ualet usus,engi man talt fá harm hans ok hryggleik
357,412,Huic nisi parueris rustica semper eris,Huic nisi parueris rustica semper eris,Huic nisi parueris rustica semper eris,Huic nisi parueris rustica semper eris,nema þú vǽgir elligar munt þú jafnan ónǿfr vera
358,413,"""Per Veneris morem uirgo cito perdit honorem","""Per Veneris morem uirgo cito perdit honorem","""Per Veneris morem uirgo cito perdit honorem","""Per Veneris morem uirgo cito perdit honorem",Með lostavenju tapar mǽr sama sínum brátt
359,414,Igneus ille furor nescit habere modum,Igneus ille furor nescit habere modum,Igneus ille furor nescit habere modum,Igneus ille furor nescit habere modum,því at sú eldlig ǿði kann eigi hóf hafa
360,415,Non leue pondus habet uiolenta Cupidinis arma,Non leue pondus habent uiolenta Cupidinis arma,Non leue uulnus habet uiolenta Cupidinis arma,Non leue dant uulnus uiolenta Cupidinis arma,grimm vápn ástargyðju hafa ei létt sár
361,416,Hijs male seduci queque puella timet,Hijs male seduci queque puella timet,Hijs male subduci queque puella timet,Hijs male seduci queque puella timet,þau vápn óttask hver mǽr illa at svíkjask
362,417,Sepius immeritas incusat fama puellas,Sepius immeritas accusat fama puellas,Sepius immeritas incusat fama puellas,Sepius immeritas incusat fama puellas,oft rǿgir frǽgð með lygi óverðugar meyjar
363,418,Omnia nec cessat carpere liuor edax,Omnia non cessat carpere liuor edax,Omnia non cessat capere liuor edax,Omnia non cessat carpere liuor edax,etandi ǫfund léttir ei allt at grípa
364,419,Quo petis annuerem fame nisi uerba timerem,Quod petis annuerem fame nisi uerba timerem,Quod petis annuerem fame nisi uerba timerem,Quod petis annuerem nisi fame uerba timerem,játa mynda ek því er þú beiðisk ef ek hrǽddumsk ei vǫrðu
365,42,Tela nec inde queo ui remouere mea,Tela nec inde queo ui remouere mea,Tela nec inde queo ui remouere mea,Tela nec inde queo ui remouere mea,ok þau vápn má eigi þaðan fǿra með mínu afli
366,420,Que magis in tali crimine lumen,Que magis in tali crimine lumen,Que magis in tali crimine lumen,Que magis in tali crimine lumen,
367,421,Rebus in is maior nimis est infamia uero,Rebus in hijs maior nimis est infamia uero,Rebus - - maior nimis est infamia uero,Rebus in hijs maior nimis est infamia uero,Allmjǫk er slíkt orð látit ríkari sannendi
368,422,Sed prestat uerum rumor et ipse cadit,Sed prestat uerum rumor et ipse cadit,Sed prestat rerum rumor et ipse cadit,Sed prestat uerum rumor et ipse cadit,ok ef sátt er uppi
369,423,Murmura rumoris curasque leuabo timoris,Murmura rumoris curas removebo timoris,Murmura rumoris curasque leuabo timoris,Murmura rumoris curasque leuabo timoris,ek mun með hófi frǽgð ok hrǽzlu leggja
370,424,Vos uestrosque iocos calliditate tegam,Vos uestrosque iocos calliditate tegam,Vos uestrosque iocos calliditate tegam,Vos uestrosque iocos calliditate tegam,ok ykkr með lǽvísi leyna ok ykkarn leik
371,425,Nam Veneris mores cognoscimus eius et artes,Nam Veneris mores cognoscimus eius et artes,Nam Veneris mores cognoscimus eius et artes,Nam Veneris mores cognoscimus eius et artes,"því at vér kunnum vel hans lostavenju
"
372,426,Et sic tuta meo res erit ingenio,Et sic tuta meo res erit ingenio,Et sic tuta meo rei erit ingenio,Et sic tuta meo res erit ingenio,ok sá mun hlutr øruggr vera með mínu ráði
373,427,Illum cum uideam michi consule quid sibi dicam,Illum cum uideo michi consule quid sibi dicam,Illum cum uideam michi consule quid sibi dicam,Illum cum uideam michi consule quid sibi dicam,en þá er ek sé hann ráð mér hvat ek skal segja
374,428,Que michi predices tucius ipsa loquar,Quod michi predices tucius ipsa loquar,Que michi predices tucius ipsa loquar,Que michi predices tucius ipsa loquor,þá mun ek djarfliga mǽla þat er þú hefir rǿtt fyrir mér
375,429,Nescio uelle meum tibi secretumque fateri,Hesito uelle meum tibi secretumque fateri,Hesito uelle meum tibi secretumque fateri,Nescio uelle meum tibi secretumque fateri,Ifask mjǫk vili minn leynda hluti mína þér at segja
376,43,Vulneris inde crescit dolor annibus horis amanti,Vulneris inde mei crescit dolor annibus horis,Vulneris inde mei crescit dolor annibus horis,Vulneris inde mei crescit dolor annibus horis,fyrir sakar sárs míns Harmr vex ǽ jafnan í ǫllum tíðum
377,430,Nam dolus insidias tendit ubique suas,Nam dolus insidias tendit ubique suas,Nam dolus insidias tendit ubique suas,Nam dolus insidias tendit ubique suas,
378,431,Sed tamen experiar que sit tua lingua fidesque,Sed tamen experiar que sit tua lingua fidesque,Sed tamen experiar que sit tua lingua fidesque,Sed tamen experiar que sit tua lingua fidesque,en þó skal ek reyna hvárt tunga þín sé trú eða eigi
379,432,Et qua parte tuum me trahat ingenium,Et qua parte tuum me trahat ingenium,Et qua parte tuum me trahat ingenium,Et qua parte tuum me trahat ingenium,ok svá til hvers dregr mik þín rǿða
380,433,Pamphilus ipse meum pecijt michi nuper amorem,Pamphilus ille meum pecijt sibi nuper amorem,Pamphilus ipse meum sibi petiturus nuper amorem,Pamphilus ipse meum pecijt sibi nuper amorem,Pamphilus beiðisk ástar minnar
381,434,Nos simul et uera iunxit amicicia,Nos simul et uera iunxit amicicia,Nos simul et uera iunxit amicicia,Nos simul et uera iunxit amicicia,en hví skal okkr saman tengja sǫnn vinátta
382,435,Sed nimis hoc cela soli sibi posco reuela,Sed nimis hoc cela soli sibi posco reuela,Sed nimis hoc cela soli sibi posco reuela,Sed nimis hoc cela soli sibi posco reuela,en því skalt þú þó mjǫk leyna ok svá honum einum segja
383,436,Non tamen incipias hac racione loqui,Non tamen incipies hac racione loqui,Non tamen incipias hac racione loqui,Non tamen incipias hac racione loqui,
384,437,Illum sepe prius multo uolumine tempta,Illum sepe prius multo temptamine tempta,Illum sepe prius multo molimine tempta,Illum sepe prius multo temptamine tempta,en hans skalt þú þó fyrst með mikilli freistni freista
385,438,Quod dixi dicet forsitan ipse tibi,Quod dixi dicet forsitan ipse tibi,Quod dixi dicet forsitan tibi ille,Quod dixi dicet forsitan ille tibi,en er ek sagða þá mun hann með atburð þér segja
386,439,Hinc modo discede fac et precor omnia caute,Hinc modo discede fac et precor omnia caute,Hinc modo discede fac - precor omnia caute,Hinc modo discede fac ut precor omnia caute,en þú far nú brott með bǿn minni ok ger allt með lǽvísi
387,44,Decrescitque color uisque decorque meus,Decrescitque decor usque colorque meus,Decrescitque color uisque decorque meus,Decrescitque color uisque decorque meus,ok litr þverr ok afl minnkar ok mín fegrð
388,440,Et tibi que dicet cras michi cuncta refert,Et tibi que dicit cras michi cuncta refer,Et tibi que dicet cras michi cuncta refer,Et tibi que dicet cras michi cuncta refer,ok allt þat sem hann rǿðir fyrir þér þá seg mér á morgin
389,441,Multociens animos frustratur spesque laborque,Multociens hominis frustratur spesque laborque,Multociens homines frustratur spesque laborque,Multociens hominum frustratur spesque laborque,
390,442,Non res ut uolumus Pamphile nostra uenit,Non res ut uolumus Pamphile nostra uenit,Non res ut uolumus Pamphile nostra uenit,Non res ut uolumus Pamphile nostra uenit,Ást þín ok starf mitt Pamphile er ei komit sem ek vilda
391,443,Tardius ad nostrum nimis aduocor ipsa iuuamen,Tardior ad uestrum nimis aduocor ipsa iuuamen,Tardius ad uestrum nimis aduocor ipsa iuuamen,Tardius ad uestrum nimis aduocor ipsa iuuamen,ek var kǫlluð of síðla þér til liðs
392,444,Nam prodesse nequit arsque laborque tibi,Nam prodesse nequit arsque laborque tibi,Tunc prodesse - arsque laborque meus,Nam prodesse nequit arsque laborque tibi,"því at hvárki mun nú stoða
 þér starf né vél"
393,445,Res ut testatur Galthee teda paratur,Res ut testatur Galthee teda paratur,Res ut credatur Galthee teda paratur,Res ut testatur Galthee teda paratur,"Galatheae er nú giftarorð
 búit svá sem ǫll þjóð segir"
394,446,- Miror enim cultus quos parat illa domus,- Miror enim cultus quos parat illa domus,Hos Miror enim cultus quos parat illa domus,- Miror enim cultus quos parat illa domus,ok undra þann umbúnað er henni er búinn
395,447,Sunt centum cause quibus illud suspicor esse,Sunt centum cause quibus istud suspicor esse,Sunt centum cause quibus illud suspicor essem,Sunt centum cause quibus istud suspicor esse,"víst hundrað hluta
 standa í móti því er ek vǽnta"
396,448,Sed suus ipsa tamen celat uterque parens,Sed tamen ista nimis celat uterque parens,Sed suus ista tamen celat uterque parens,Sed suus ista tamen celat uterque parens,"en þó leyna
 þau faðir ok móðir"
397,449,Hoc tibi quod dico sapiencius accipe posco,Hoc tibi quod dico sapiencius accipe posco,Hoc tibi quod dico sapiencius accipe posco,Hoc tibi quod dico sapiencius accipe posco,ok þess bið ek þik at þú berr þetta vitrliga er ek segi þér
398,45,Hec nulli dixi nec que michi uulnera fecit,Hec nulli dixi nec que michi uulnera fecit,Hoc nulli dixi nec que mea uulnera fecit,Hoc nulli dixi nec que michi uulnera fecit,ok þetta sagða ek engum ok ei nefnda ek þann er mik sǽrði
399,450,Mitte quod esse nequit quere quod esse potest,Mitte quod esse nequit quere quod esse potest,Mitte quod esse nequit quere quod esse potest,Mitte quod esse nequit quere quod esse potest,ok lát laust þat er ekki má vera ok leita þess er vera má
400,451,Heu michi nam fugiunt uires et corporis usus,Heu michi quo fugiunt uires et corporis usus,Heu michi quo fugiunt uires et corporis usus,Heu michi quo fugiunt uires et corporis usus,"Uæis sé mér hvar er afl mitt komit ok huggan
 lífs míns"
401,452,Mens mea non seruit nec mea lingua michi,Mens mea non seruit nec mea lingua michi,Mens mea non seruit nec mea lingua michi,Mens mea non seruit nec mea lingua michi,
402,453,Heu miser in nostris est nulla potencia membris,Heu miser in nostris est nulla potencia membris,Heu miser in nostris est nulla potencia membris,Heu miser in nostris est nulla potencia membris,væiss er mér veslum ekki er megin í limum mínum
403,454,Quorum quodque suum denegat officium,Horum quodque suum denegat officium,Horum queque suum denegant officium,Horum quoque suum denegat officium,hverr limr níttar sinni þjónastu
404,455,Spes mea me lesit per spem Venus ossibus hesit,Spes mea me lesit per spem Venus ossibus hesit,Spes mea me lesit per spem Venus ossibus hesit,Spes mea me lesit per spem Venus ossibus hesit,ván hefir mik blekkðan ván hefir mik með angri ok ergi fluttan
405,456,Spes procul abscessit nec tamen ignis abest,Spes procul abscessit nec tamen ignis abest,Spes procul abscessit nec tamen ignis abest,Spes procul abscessit nec tamen ignis abest,nú er ván langt í brott farin ok brennandi ást í stað komin
